Nest Group,Band Combo,Band Number,,,,,,,,,,,
16RSF2-7,yv:ob,238110516,,,,,,,,,,,
16RSF2-7,yv:pb,238110517,,,,,,,,,,,
16RSF2-7,yv:wb,238110518,,,,,,,,,,,
16RSF2-8,ak:pr,238110536,,,,,,,,,,,
16RSF2-8,ak:yr,238110538,,,,,,,,,,,
16RSF2-8,ak:wr,238110537,,,,,,,,,,,
16E6B-7,yv:pg,238110525,,,,,,,,,,,
16E6B-7,yv:rg,238110526,,,,,,,,,,,
16E6B-7,yv:wg,238110527,,,,,,,,,,,
16E6B-10,ak:or,238110551,,,,,,,,,,,
16E6B-10,ak:ow,238110552,,,,,,,,,,,
16E6B-10,ak:pw,238110553,,,,,,,,,,,
16E8-7,yv:ag,238110508,,,,,,,,,,,
16E8-7,yv:ar,238110509,,,,,,,,,,,
16E8-7,yv:bb,238110510,,,,,,,,,,,
16E8-21,ak:gb,238110542,,,,,,,,,,,
16E8-21,ak:pb,238110543,,,,,,,,,,,
16E8-21,ak:pg,238110544,,,,,,,,,,,
16E8-23,ak:ar,238110545,,,,,,,,,,,
16E8-23,ak:ay,238110546,,,,,,,,,,,
16E8-24,yv:yg,238110539,,,,,,,,,,,
16E8-24,ak:ag,238110540,,,,,,,,,,,
16E8-24,ko:bg,238110541,,,,,,,,,,,
16E8-26,ak:bb,238110547,,,,,,,,,,,
16E8-26,ak:gg,238110549,,,,,,,,,,,
16E8-26,ak:gr,238110550,,,,,,,,,,,
16E8-28,ak:rb,238110554,,,,,,,,,,,
16E8-28,ak:wb,238110555,,,,,,,,,,,
16E8-28,ak:ww,238110556,,,,,,,,,,,
16E11-1,gk:ag,238110557,,,,,,,,,,,
16E11-1,gk:ay,238110558,,,,,,,,,,,
16E11-1,gk:br,238110559,,,,,,,,,,,
16E11-2,yv:yy,238110563,,,,,,,,,,,
16E11-2,gk:ob,238110564,,,,,,,,,,,
16E16B-8,yv:gy,238110511,,,,,,,,,,,
16E16B-8,yv:by,238110512,,,,,,,,,,,
16E16B-8,yv:oy,238110513,,,,,,,,,,,
16E12-5,yv:bg,238110522,,,,,,,,,,,
16E12-5,yv:gg,238110523,,,,,,,,,,,
16E12-5,yv:og,238110524,,,,,,,,,,,
16E14-14,ak:ob,238106697,,,,,,,,,,,
16E14-14,rk:ab,238106698,,,,,,,,,,,
16E14-14,rk:rw,238106699,,,,,,,,,,,
16E14-28,yv:aw,238110501,,,,,,,,,,,
16E14-28,yv:bw,238110502,,,,,,,,,,,
16E14-28,yv:gw,238110503,,,,,,,,,,,
16E14-31,yv:ow,238110504,,,,,,,,,,,
16E14-31,yv:pw,238110505,,,,,,,,,,,
16E14-36,yv:ay,238110507,,,,,,,,,,,
16E14-36,yv:ab,238110506,,,,,,,,,,,
16E14-60,yv:py,238110514,,,,,,,,,,,
16E14-60,yv:wy,238110515,,,,,,,,,,,
16E14-61,yv:gb,238110519,,,,,,,,,,,
16E14-61,yv:rb,238110520,,,,,,,,,,,
16E14-61,yv:yb,238110521,,,,,,,,,,,
16E14-75,yv:rw,238110528,,,,,,,,,,,
16E14-75,yv:ww,238110529,,,,,,,,,,,
16E14-75,yv:yw,238110530,,,,,,,,,,,
16E14-76,yv:gr,238110531,,,,,,,,,,,
16E14-76,yv:or,238110532,,,,,,,,,,,
16E14-76,yv:pr,238110533,,,,,,,,,,,
16E14-77,yv:rr,238110534,,,,,,,,,,,
16E14-77,yv:wr,238110535,,,,,,,,,,,
16E14-86,yv:ry,238110560,,,,,,,,,,,
16E14-88,yv:br,238110561,,,,,,,,,,,
16E14-88,yv:yr,238110562,,,,,,,,,,,
