Year,Breeding Window Survey Week,start.date,end.date,locations,Notes
2003,No window survey,,,all,
2004,No window survey,,,all,
2005,text5/22-5/29,5/22/2005,5/29/2005,all,
2006,text5/24-6/4,5/24/2006,6/4/2006,all,
2007,text5/22-5/28,5/22/2007,5/28/2007,all,
2008,text5/20-5/27,5/20/2008,5/27/2008,all,
2009,text5/18-5/25,5/18/2009,5/25/2009,all,
2010,"text5/18-5/25, 5/30 for Hayward and Napa only",5/30/2010,5/30/2010,"Hayward, Napa",
2010,"text5/18-5/25, 5/30 for Hayward and Napa only",5/18/2010,5/25/2010,"all-Hayward, Napa","Hayward includes ponds OBN1-21, Napa includes 7/7A, Wingo Unit, and "
2011,"text5/22-5/28, 5/30 for Hayward",5/31/2011,5/31/2011,Hayward,
2011,"text5/22-5/28, 5/30 for Hayward",5/22/2011,5/28/2011,all-Hayward,
2012,text5/21-28,5/21/2012,5/28/2012,all,
2013,text5/20-29,5/20/2013,5/29/2013,all,
2014,text5/18-24,5/18/2014,5/24/2014,all,
2015,text5/17-23,5/17/2015,5/23/2015,all,
2016,text5/15-21,5/15/2016,5/21/2016,all,
2017,text5/21-28,5/21/2017,5/28/2017,all,
