id,Age,Sex,Date,year,Location,Type,CH,Pond Association,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802115173,1,M,2014-05-31,2014,ELER,capture,1,E8,"Not associated with nest, ""bystander"" caught in noose mat so banded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802115177,1,M,2014-06-04,2014,ELER,capture,1,E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238106508,1,F,2014-07-08,2014,RAVE,capture,1,R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238106510,1,F,2014-07-10,2014,ELER,capture,1,E14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238106537,1,U,2014-08-11,2014,ELER,capture,1,E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238106546,1,F,2015-04-17,2015,ELER,capture,1,E14,"Not associated with nest, ""bystander"" caught in noose mat so banded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238106553,4,U,2015-04-22,2015,ELER,capture,1,E14,Chick died on 4/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238106554,1,M,2015-04-28,2015,ELER,capture,1,E14,Likely not male from nest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238106567,1,M,2015-05-13,2015,ELER,capture,1,E14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238106610,4,U,2015-05-07,2015,RAVE,capture,1,RSF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238106620,1,U,2015-05-20,2015,ELER,capture,1,E14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
