Pond,Pond Group ,Complex
7/7A,7/7A,Napa-Sonoma Marshes Wildlife Area
A1,,
A10,,
A11,,
A12,A12-13,Alviso
A13,A12-13,Alviso
A14,,
A15,,
A16,A16-17,Alviso
A17,,
A19,,
A20,,
A21,,
A22,A22-23,Warm Springs
A23,A22-23,Warm Springs
A2E,,
A2W,,
A3N,Mountain View,Alviso
A3W,,
A4,,
A5,,
A6,,
A6A,,
A6B,,
A7,,
A8,A8,Alviso
A8/A7,,
A8S,,
A9,,
AB1,,
AB2,,
"Alameda Point, CA",,
"Alviso, CA",,Alviso
Cargill Salt Ponds,,
"Carmel River State Beach, CA",,
CM,,
CME,,
CMW,,
"Coronado Naval Base, CA",,
Crescent Pond,,
Crittenden Marsh East,Mountain View,Alviso
Crittendon Marsh West,Mountain View,Alviso
"Crown Beach, Alameda, CA",,
E1,,
E10,,
E10B,,
E11,Mt. Eden Creek,Eden Landing
E11B,,
E12,Whales Tail,Eden Landing
E12B,,
E13,Whales Tail,Eden Landing
E13B,,
E14,Whales Tail,Eden Landing
E14B,,
E15B,Mt. Eden Creek,Eden Landing
E16B,Mt. Eden Creek ,Eden Landing
E17B,,
E17C,,
E1B,,
E1C,2C System,Eden Landing
E2,,
E20B,,
E2B,,
E2C,,
E3B,,
E3C,2C System,Eden Landing
E4,,
E4B,,
E4C,,
E5,E5-E6C,Eden Landing
E5B,,
E5C,2C System,Eden Landing
E6,E6,Eden Landing
E6A,Old Alameda Creek,Eden Landing
E6B,Old Alameda Creek,Eden Landing
E6B/E8 Levee,Old Alameda Creek,Eden Landing
E6BCR,,
E6C,E5-E6C,Eden Landing
E7,,
E7B,,
E7C,,
E8,Old Alameda Creek,Eden Landing
E8A,E8A,Eden Landing
E8B,,
E8X,E8X,Eden Landing
E8XN,,
E9,E9,Eden Landing
E9B,,
"Eden Landing Ecological Reserve, CA",,Eden Landing
FDW,,
Foster City,,
"Half Moon Bay, CA",,
"Hayward, CA",,
Hickory,,
"Hollywood Beach, CA",,
Impoundment,Impoundment,Alviso
Inner Bair,,
"Jalama Beach County Park, CA",,
LETE,LETE,Hayward Shoreline
"Limantour Beach and Spit, CA",,
M1,,
M12,,
M13,,
M2,,
M3,,
M4,,
M5,,
M6,,
"McGrath State Beach, CA",,
"Middle Harbor Shoreline Park, Oakland, CA",,
Montezuma Wetlands,,
"Morro Bay State Park, CA",,
"Mountain View, CA",,Alviso
N1,,
N1A,,
N2,,
N2A,,
N3,,
N3A,,
N4,,
N4A,,
N4AA,,
N4AB,,
N4B,,
N5,,
N6,,
N7,,
N8,,
N9,,
NCM,NCM,Alviso
NPP1,NPP1,Dumbarton
OBN1,,
OBN10,,
OBN11,,
OBN12,OBN12,Hayward Shoreline
OBN13,,
OBN14,,
OBN15,,
OBN16,,
OBN17,,
OBN2,,
OBN21,,
OBN3,,
OBN4,,
OBN5,,
OBN6,,
OBN7,,
OBN8,,
OBN9,,
"Ocean Beach, San Francisco, CA",,
"Oceano Dunes State Vehicular Recreation Area, CA",,
Outer Bair,,
Patterson Pond,,
R1,R1-2,Ravenswood
R2,R1-2,Ravenswood
R3,R3-5,Ravenswood
R4,R3-5,Ravenswood
R5,R3-5,Ravenswood
R5S,,
Ravenswood Slough,,
RSF2,RSF2,Ravenswood
"Salinas River National Wildlife Refuge, CA",,
"Salinas River State Beach, CA",,
San Leandro Marina,,
"Seabright Beach, CA",,
"Stinson Beach, CA",,
"Sunset State Beach, CA",,
Unknown Crystallizer,,
Unknown Eden Landing,,
"Vandenberg Air Force Base, CA",,
Wingo Unit,,
"Zmudowski Beach State Park, CA",,
